cartao_id,conta_id,numero_cartao,tipo_cartao,bandeira,data_emissao,data_expiracao,cvv,status
CARD_00000001,ACC_00000001,5932-1334-8039-6522,Débito,Elo,2025-12-06,2028-08-19,855,Bloqueado
CARD_00000002,ACC_00000002,4599-2937-8427-0103,Pré-pago,Visa,2026-05-07,2027-11-07,589,Ativo
CARD_00000003,ACC_00000003,4252-5002-9218-5156,Pré-pago,Visa,2025-11-26,2027-03-22,430,Ativo
CARD_00000004,ACC_00000005,5752-8953-9264-4220,Pré-pago,Elo,2025-10-29,2028-10-04,889,Bloqueado
CARD_00000005,ACC_00000005,4295-9391-7251-3552,Pré-pago,Visa,2025-05-20,2028-04-02,754,Bloqueado
CARD_00000006,ACC_00000006,5043-3154-1006-7626,Crédito,Mastercard,2025-11-19,2027-11-27,484,Ativo
CARD_00000007,ACC_00000007,4271-0405-4115-2621,Pré-pago,Visa,2025-11-25,2028-01-15,728,Cancelado
CARD_00000008,ACC_00000008,4629-6201-5336-8844,Crédito,Visa,2026-03-29,2026-07-06,502,Bloqueado
CARD_00000009,ACC_00000008,5205-0614-9731-0324,Débito,Mastercard,2026-03-19,2027-03-28,903,Cancelado
CARD_00000010,ACC_00000009,5418-6256-5270-4774,Débito,Mastercard,2025-08-02,2026-07-19,254,Bloqueado
CARD_00000011,ACC_00000010,4158-6938-0686-8793,Crédito,Mastercard,2026-04-07,2027-06-25,974,Bloqueado
CARD_00000012,ACC_00000010,4898-9921-7223-3206,Débito,Elo,2025-10-07,2026-12-09,942,Bloqueado
CARD_00000013,ACC_00000012,5511-6868-5487-0998,Crédito,Visa,2025-10-17,2026-10-17,251,Bloqueado
CARD_00000014,ACC_00000012,4191-4856-4679-9702,Crédito,Mastercard,2026-03-05,2028-02-09,723,Bloqueado
CARD_00000015,ACC_00000013,5065-3074-5054-4471,Débito,Visa,2025-12-15,2029-02-07,861,Cancelado
CARD_00000016,ACC_00000013,5469-1373-6785-0821,Crédito,Elo,2025-08-31,2027-07-04,238,Bloqueado
CARD_00000017,ACC_00000014,4233-0307-0534-5786,Pré-pago,Visa,2025-06-03,2026-06-17,347,Cancelado
CARD_00000018,ACC_00000014,5972-7985-5241-4060,Débito,Elo,2026-01-28,2028-10-10,326,Bloqueado
CARD_00000019,ACC_00000016,4468-0072-2903-4944,Crédito,Mastercard,2025-11-20,2027-08-30,358,Ativo
CARD_00000020,ACC_00000016,5489-6910-8589-9441,Crédito,Visa,2025-11-26,2027-02-24,755,Cancelado
CARD_00000021,ACC_00000017,5432-8309-6520-7446,Crédito,Mastercard,2026-04-29,2028-01-04,825,Bloqueado
CARD_00000022,ACC_00000019,4875-8428-2417-2482,Pré-pago,Mastercard,2025-06-16,2026-08-16,327,Cancelado
CARD_00000023,ACC_00000021,5655-4947-1709-9917,Débito,Elo,2026-03-17,2028-10-21,797,Cancelado
CARD_00000024,ACC_00000021,5602-2356-9725-2175,Pré-pago,Visa,2025-12-08,2028-02-25,159,Ativo
CARD_00000025,ACC_00000022,5329-2712-9666-6760,Débito,Elo,2026-02-04,2028-06-03,482,Ativo
CARD_00000026,ACC_00000023,4003-3542-1689-4210,Crédito,Mastercard,2025-09-26,2028-05-31,632,Bloqueado
CARD_00000027,ACC_00000024,5625-7532-6033-2309,Pré-pago,Visa,2026-03-15,2027-05-27,828,Bloqueado
CARD_00000028,ACC_00000024,4648-9090-1001-6761,Pré-pago,Mastercard,2025-09-17,2028-05-04,256,Ativo
CARD_00000029,ACC_00000025,4461-8499-2618-9141,Débito,Mastercard,2026-02-05,2028-01-30,304,Cancelado
CARD_00000030,ACC_00000025,4564-2087-3753-0011,Pré-pago,Elo,2025-09-07,2026-10-16,192,Bloqueado
CARD_00000031,ACC_00000027,4437-4470-1204-5561,Débito,Visa,2026-05-13,2028-10-05,241,Bloqueado
CARD_00000032,ACC_00000027,4557-9415-5216-6746,Pré-pago,Mastercard,2025-10-14,2028-03-11,916,Ativo
CARD_00000033,ACC_00000030,4216-9797-2965-9027,Crédito,Visa,2025-10-19,2027-08-11,147,Ativo
CARD_00000034,ACC_00000030,5508-9935-8891-6375,Pré-pago,Elo,2025-06-23,2027-06-15,252,Bloqueado
CARD_00000035,ACC_00000031,4028-7721-7535-4083,Pré-pago,Elo,2025-11-05,2027-07-03,936,Ativo
CARD_00000036,ACC_00000031,4779-7177-5170-1660,Pré-pago,Elo,2026-05-17,2028-09-08,193,Bloqueado
CARD_00000037,ACC_00000032,5883-7550-3758-9975,Pré-pago,Mastercard,2026-03-20,2026-08-24,877,Bloqueado
CARD_00000038,ACC_00000032,4055-4885-1027-2614,Pré-pago,Visa,2026-02-10,2026-09-17,972,Cancelado
CARD_00000039,ACC_00000034,4516-0917-7982-7080,Pré-pago,Mastercard,2025-07-22,2027-09-23,620,Ativo
CARD_00000040,ACC_00000035,4216-9958-6693-4654,Crédito,Visa,2026-03-08,2027-07-13,716,Bloqueado
CARD_00000041,ACC_00000035,5858-3339-4522-8851,Crédito,Elo,2025-09-14,2028-01-03,684,Bloqueado
CARD_00000042,ACC_00000036,5846-0810-6200-3424,Pré-pago,Mastercard,2026-03-04,2028-09-22,163,Bloqueado
CARD_00000043,ACC_00000036,5380-5719-8386-3840,Crédito,Mastercard,2025-10-16,2029-01-20,907,Bloqueado
CARD_00000044,ACC_00000037,4043-9735-9893-3472,Pré-pago,Visa,2026-02-11,2029-01-26,277,Bloqueado
CARD_00000045,ACC_00000038,4606-4842-2940-5720,Débito,Mastercard,2025-07-16,2026-07-08,892,Bloqueado
CARD_00000046,ACC_00000038,5798-5158-3281-8268,Pré-pago,Mastercard,2026-03-31,2027-05-09,326,Ativo
CARD_00000047,ACC_00000039,5554-3987-8015-7399,Débito,Visa,2025-06-02,2028-11-08,428,Cancelado
CARD_00000048,ACC_00000039,4648-4085-8877-0435,Pré-pago,Visa,2026-03-29,2026-11-04,891,Bloqueado
CARD_00000049,ACC_00000040,4133-6138-6120-7501,Débito,Visa,2026-02-15,2028-08-07,357,Bloqueado
CARD_00000050,ACC_00000040,4934-6676-6506-1809,Débito,Elo,2025-07-22,2026-07-02,817,Ativo
CARD_00000051,ACC_00000041,4449-1476-6072-8326,Pré-pago,Mastercard,2025-06-27,2026-10-11,405,Bloqueado
CARD_00000052,ACC_00000042,5088-2100-9968-8143,Pré-pago,Elo,2025-11-22,2026-12-19,522,Bloqueado
CARD_00000053,ACC_00000042,4223-9431-2908-7814,Pré-pago,Visa,2026-01-09,2026-08-25,302,Bloqueado
CARD_00000054,ACC_00000043,5552-3149-1357-7594,Pré-pago,Elo,2026-02-28,2027-12-17,680,Cancelado
CARD_00000055,ACC_00000043,5620-5336-4525-7775,Crédito,Mastercard,2025-08-08,2026-09-05,279,Bloqueado
CARD_00000056,ACC_00000044,4428-3411-0809-9693,Débito,Elo,2026-01-04,2027-11-24,652,Cancelado
CARD_00000057,ACC_00000044,4563-9427-8816-5803,Pré-pago,Elo,2026-02-22,2028-06-30,626,Ativo
CARD_00000058,ACC_00000045,4299-2750-3731-4530,Pré-pago,Visa,2025-08-25,2028-12-01,910,Cancelado
CARD_00000059,ACC_00000046,5700-5184-4989-2665,Pré-pago,Elo,2026-04-08,2027-10-28,357,Cancelado
CARD_00000060,ACC_00000048,5557-7908-2723-1843,Débito,Visa,2026-02-26,2027-05-22,716,Bloqueado
CARD_00000061,ACC_00000048,4365-1777-3926-0302,Pré-pago,Elo,2026-02-24,2026-10-01,744,Bloqueado
CARD_00000062,ACC_00000050,4024-2869-9041-3797,Crédito,Visa,2026-01-25,2028-09-13,520,Bloqueado
