conta_id,cliente_id,agencia_id,produto_id,tipo_conta,agencia,numero_conta,saldo,limite,data_abertura,status
ACC_00000001,CLI_000001,AG_0005,PROD_0008,Corrente,4189,577079,74773.48,30286.95,2025-10-17,Bloqueada
ACC_00000002,CLI_000002,AG_0018,PROD_0013,Investimento,4920,965708,21841.16,12373.27,2025-07-16,Ativa
ACC_00000003,CLI_000002,AG_0017,PROD_0008,Investimento,8247,837952,36178.49,45862.24,2026-03-21,Ativa
ACC_00000004,CLI_000003,AG_0019,PROD_0009,Corrente,2647,272529,32811.76,26017.08,2026-03-19,Bloqueada
ACC_00000005,CLI_000004,AG_0019,PROD_0008,Corrente,2647,635167,44548.27,2781.79,2026-03-11,Bloqueada
ACC_00000006,CLI_000005,AG_0015,PROD_0010,Corrente,4396,685941,46237.83,40345.77,2026-05-06,Inativa
ACC_00000007,CLI_000005,AG_0009,PROD_0014,Corrente,9025,882032,21790.13,3651.48,2025-10-13,Inativa
ACC_00000008,CLI_000006,AG_0018,PROD_0001,Corrente,4920,595002,3173.49,20443.35,2026-03-09,Bloqueada
ACC_00000009,CLI_000007,AG_0012,PROD_0015,Poupança,3481,570325,86962.03,45338.37,2025-11-06,Ativa
ACC_00000010,CLI_000007,AG_0018,PROD_0003,Investimento,4920,464663,11863.32,49642.34,2025-10-28,Bloqueada
ACC_00000011,CLI_000008,AG_0008,PROD_0014,Corrente,9446,892911,2273.53,14918.15,2025-06-07,Bloqueada
ACC_00000012,CLI_000009,AG_0018,PROD_0007,Corrente,4920,359535,46062.53,7756.07,2026-02-10,Bloqueada
ACC_00000013,CLI_000009,AG_0004,PROD_0001,Investimento,2761,539605,61492.32,46811.9,2026-05-09,Ativa
ACC_00000014,CLI_000010,AG_0003,PROD_0002,Investimento,4524,135207,44644.11,33601.18,2026-04-23,Ativa
ACC_00000015,CLI_000011,AG_0013,PROD_0008,Corrente,4397,665979,21726.92,43186.51,2026-04-19,Ativa
ACC_00000016,CLI_000012,AG_0008,PROD_0014,Investimento,9446,704095,31890.37,29895.88,2025-06-07,Inativa
ACC_00000017,CLI_000012,AG_0008,PROD_0005,Corrente,9446,792282,52125.11,20678.01,2025-12-28,Ativa
ACC_00000018,CLI_000013,AG_0014,PROD_0009,Poupança,5331,149161,97229.02,47079.32,2025-06-08,Inativa
ACC_00000019,CLI_000014,AG_0014,PROD_0007,Corrente,5331,414455,37646.02,37720.8,2025-09-17,Ativa
ACC_00000020,CLI_000014,AG_0008,PROD_0005,Investimento,9446,251363,80577.62,45737.06,2025-08-03,Inativa
ACC_00000021,CLI_000015,AG_0018,PROD_0009,Corrente,4920,507286,24285.85,10166.84,2025-06-20,Ativa
